3/10/2012	4762	8236	9604	4545	6024	748	1861	9007	8688	2016	4541	6470	7377	á	á	á	888	7824	2507	8894	1882	2127	1467	1572	1193	431
2/10/2012	8353	8332	6752	3147	4953	5990	5412	48	1169	9823	2694	1933	8156	á	á	á	4772	8578	6063	3860	3568	4563	9396	3043	4644	6231
30/9/2012	3954	5065	2070	7661	4727	2362	5848	3844	6081	5841	9867	6959	9554	á	á	á	3860	552	185	1120	4890	2061	6325	8625	85	9180
29/9/2012	9206	924	8932	2042	3599	3086	4022	5110	9232	5813	918	9383	6373	á	á	á	5944	4760	1123	5039	1170	245	949	7517	747	5675
26/9/2012	3127	8651	3978	1755	1464	1850	9849	6100	6234	5584	2695	6105	9159	á	á	á	1728	7444	4280	9734	8341	2865	52	6691	5053	1740
23/9/2012	4808	2888	6544	9363	9712	833	6858	4774	7298	4715	1003	6414	9016	á	á	á	5451	7553	1072	9109	9029	7133	1361	6438	4468	8336
22/9/2012	7072	5064	2239	4198	7806	4897	8490	5343	1313	899	9070	1697	4878	á	á	á	3054	7761	5369	2969	6184	6733	6412	5662	9943	6324
19/9/2012	5794	2922	6799	2729	9860	4486	9903	113	9936	5470	7423	1237	6564	á	á	á	1261	4730	7714	2410	7486	7046	8263	4305	6244	2495
18/9/2012	9621	2101	4262	4999	6654	5936	756	3304	3553	4561	5963	2216	570	á	á	á	2298	7818	9846	5333	542	7960	5400	7677	5586	629
16/9/2012	6701	3461	2248	5081	9824	5165	5035	970	9882	8931	5675	8333	1157	á	á	á	8178	6391	3857	7701	373	4459	736	5239	6528	4545
15/9/2012	7888	2386	6793	5307	2748	4292	9470	7865	8566	5515	8169	571	303	á	á	á	2304	1354	7012	6540	3885	8192	1399	3954	1797	2920
12/9/2012	846	2344	5906	6803	3433	4372	8705	3486	7255	4137	7765	1587	6851	á	á	á	5656	6975	2067	5942	7515	3931	1077	2976	2582	7109
9/9/2012	5334	2091	3419	3264	3588	9796	6843	5741	1129	5400	4489	2461	7242	á	á	á	8204	7329	2849	1727	6178	8044	8939	9883	9987	138
8/9/2012	9960	73	8402	1281	3559	1412	5324	5095	762	5065	9882	2630	6972	á	á	á	323	8511	6711	5735	2947	4101	6005	9460	7555	2487
5/9/2012	9521	2761	8365	4049	5088	8437	8929	1055	73	5437	8948	5871	4922	á	á	á	63	5580	8452	6978	1363	6790	9742	1997	8676	9172
4/9/2012	1250	6197	9621	1142	7767	5174	9870	8630	171	9552	9083	8441	708	á	á	á	20	1237	2280	3946	374	5037	1058	8562	1926	464
2/9/2012	8195	2338	583	7541	6632	5620	6335	8176	5450	9452	2137	5112	3984	á	á	á	851	5096	4087	3490	7300	7938	1121	3855	9248	1728
1/9/2012	8600	7261	2036	7722	9503	9248	7397	3032	2867	7535	8463	7150	8970	á	á	á	73	757	5523	2789	4347	9533	6001	9441	4064	3705
29/8/2012	5183	6894	5234	1024	3835	86	9589	516	5316	8660	4162	7041	8381	á	á	á	916	4792	562	712	5651	7790	7465	9844	7563	8076
28/8/2012	9627	2770	2172	3997	5220	6593	6412	6419	8949	3669	9658	4234	7165	á	á	á	162	6628	1226	5404	8874	4654	8009	5872	4364	2564
26/8/2012	8292	6467	6864	7510	1639	3301	496	7587	4904	3275	1870	3025	925	á	á	á	3790	507	6145	4560	6360	9684	708	2568	6638	4054
25/8/2012	3422	2863	5472	4420	9937	1522	7104	960	9946	45	208	8531	1091	á	á	á	147	9090	9177	9058	5597	3497	6537	3948	7211	4434
22/8/2012	8218	1878	5637	5422	9136	5153	7105	3131	8781	8694	4547	4463	3487	á	á	á	7625	7502	704	9428	8309	1847	5678	8510	6639	7757
19/8/2012	6085	2412	9372	3702	2544	9574	3616	2055	1530	4744	1220	6369	4408	á	á	á	2126	9748	9672	4445	6416	9033	6607	3276	6469	3153
18/8/2012	5560	2232	6675	3468	4251	2845	3187	3167	6710	655	8300	6169	3738	á	á	á	130	8411	1620	4186	2330	2623	1627	7044	4729	4705
15/8/2012	5258	9481	7518	4572	4381	2425	3094	4830	7132	1422	9593	6467	1577	á	á	á	3686	2849	1759	3504	534	2537	8972	6502	5614	4361
12/8/2012	120	5216	3187	8776	8400	4532	1692	4898	201	6866	4449	5373	3527	á	á	á	6988	5281	6149	6559	4913	7950	2142	2869	7203	7110
11/8/2012	2514	7653	7180	5346	8919	6488	9354	4557	1861	3099	9279	4180	25	á	á	á	5413	2276	9090	539	2868	3556	3095	9747	976	5618
8/8/2012	7759	2107	6934	8607	9435	761	4652	1836	5788	4870	4250	6377	855	á	á	á	9498	5008	9115	5636	5196	1975	7182	6386	7658	3005
5/8/2012	931	746	5986	3768	1415	4023	7672	5054	4468	5790	107	6245	6848	á	á	á	5867	9948	786	6848	2937	4787	7440	3207	2640	748
4/8/2012	6979	924	7827	3781	1067	5274	4578	4027	8805	6218	7806	5302	4756	á	á	á	4891	9533	9535	8999	9253	9264	2232	2309	2108	1675
1/8/2012	1432	6857	6312	3203	8563	3041	9726	5558	4584	9578	427	6657	2386	á	á	á	9772	9263	655	7014	7520	2542	2812	2122	1733	5859
29/7/2012	9118	3480	6640	2583	990	3684	4894	4239	4181	8072	7413	2446	9565	á	á	á	3023	553	1771	3391	5656	1123	8917	40	5914	4748
28/7/2012	7110	2713	2610	3904	3544	8516	5665	8511	9502	6926	2358	3797	8860	á	á	á	3570	2126	18	8844	1984	7704	1643	8485	1387	1654
25/7/2012	6241	5236	3419	3492	8882	454	9448	3451	4335	1971	7028	2766	755	á	á	á	9107	8330	2107	4224	7831	7293	2279	4878	7978	5012
22/7/2012	5237	4782	3084	6626	8680	4624	4993	8998	5278	7700	9918	9094	4757	á	á	á	9869	9814	7405	2341	7316	1591	1802	6639	6198	7016
21/7/2012	3988	3357	623	9361	2799	2046	8620	8240	8426	1635	7778	6971	6729	á	á	á	5967	7023	4160	9549	4338	7637	6732	681	6396	5203
18/7/2012	8860	7964	8749	6458	7494	7572	1123	5380	5454	5312	3986	3010	2030	á	á	á	1421	4573	3793	8370	6130	3393	1063	1409	6139	6173
17/7/2012	275	2686	6036	5855	5347	8013	3607	946	2628	1185	9180	8672	5675	á	á	á	8161	2573	3101	9573	5018	5884	2391	1475	6863	6913
15/7/2012	7408	4995	7948	5828	1009	830	6681	278	4865	4162	1482	9871	8769	á	á	á	5556	1520	9792	718	4357	7153	7839	1435	7543	2782
14/7/2012	62	7886	2135	845	583	4620	3530	5757	4850	7581	2964	2346	6070	á	á	á	3121	2460	9016	2157	239	158	957	7743	1829	1026
11/7/2012	9007	6478	7819	7176	9541	3625	8484	7762	8488	8409	6619	4615	1542	á	á	á	2307	4177	3974	1946	6724	7735	9254	4650	7007	410
8/7/2012	646	4673	2018	831	3111	7722	3408	6022	7399	8271	7752	7141	3978	á	á	á	846	9784	8368	5114	7605	7692	929	2994	5181	1973
7/7/2012	4831	5551	2874	1939	3115	1764	5413	7562	5708	217	6172	3413	7433	á	á	á	4944	4795	5573	4626	9854	4067	1296	7840	3367	9804
4/7/2012	3650	5992	5643	46	6373	959	7459	8328	1429	6029	8367	7539	9520	á	á	á	5525	8786	4852	2773	6512	82	5820	8108	5045	3005
3/7/2012	8689	5784	8837	3542	2984	2161	2488	8023	3819	5758	5505	8077	7284	á	á	á	7853	7114	1233	7859	4025	1350	4257	5962	7718	1814
1/7/2012	6194	5795	3679	7555	8830	462	2305	2604	1702	3442	9145	8812	2053	á	á	á	3194	7385	6568	2182	7428	6291	7624	9675	4052	2484
30/6/2012	4881	7904	5106	3413	5536	8530	1255	7327	401	9625	7484	3241	7560	á	á	á	6863	8951	1619	4407	4851	5957	4373	2915	2792	1959
27/6/2012	8977	7127	7074	2100	9135	675	1526	2530	4822	9908	7640	7709	1993	á	á	á	923	6247	5565	1357	2790	5864	7664	2504	3092	3901
26/6/2012	6761	778	4851	3711	6148	5957	1579	9270	4044	5990	6369	9371	667	á	á	á	5780	6789	7684	7199	9087	8309	9709	8108	5551	2964
24/6/2012	7076	3726	3817	4370	6051	9111	7834	716	5329	5475	2040	503	4327	á	á	á	7437	2600	1286	9546	8587	3873	4534	7528	91	4656
23/6/2012	7492	7927	785	3619	3007	8274	8673	3645	7668	2771	1257	615	1056	á	á	á	349	8624	9051	9996	7938	3146	9929	3012	8507	4754
20/6/2012	8185	7543	8038	1345	2225	4456	6466	6697	4931	2609	1931	2136	1109	á	á	á	1632	2795	5404	3424	3482	1069	5267	9528	2836	2385
17/6/2012	6330	4893	9676	4738	8059	691	9042	3620	5166	3748	3125	390	826	á	á	á	5866	4728	3147	5547	3312	9508	9170	7613	1868	644
16/6/2012	7634	1568	3117	8569	8507	356	3994	3879	3383	3513	115	25	9913	á	á	á	9486	2821	963	2987	3721	3410	6090	426	3545	2142
